spectral-contrast7-mean;0.130289476430887
spectral-contrast5-mean;0.0863113017019101
spectral-bandwith-mean;0.0813667730531905
spectral-rolloff-mean;0.0746391777635564
zero-cross-rate-std;0.0745731205194545
spectral-contrast4-mean;0.0699414640361931
rmse-mean;0.0687407287154843
spectral-centroid-std;0.0685538217879295
spectral-centroid-mean;0.0683907240137063
rmse-std;0.0676999111431568
spectral-rolloff-std;0.0674508073661184
spectral-contrast3-mean;0.0595541318483039
mfcc1-mean;0.0587511210743256
zero-cross-rate-mean;0.0545103536757794
mfcc4-mean;0.0540228405284904
spectral-contrast5-std;0.0511819879396088
mfcc7-std;0.0498859201113751
spectral-bandwith-std;0.0492161159502559
spectral-contrast3-std;0.0475358510382846
mfcc2-mean;0.0467542719723081
chroma7-mean;0.046157776973065
mfcc4-std;0.0460459062802934
mfcc9-mean;0.0451683364749699
spectral-contrast4-std;0.0449926537801195
mfcc6-mean;0.0447455187495969
mfcc5-std;0.0445310912060462
mfcc7-mean;0.0440249772170486
mfcc13-mean;0.0438008624499422
mfcc6-std;0.0432170295510149
spectral-contrast2-std;0.0422147514325268
mfcc10-mean;0.0421296551787105
mfcc3-mean;0.0420193919770562
chroma5-mean;0.041954867279448
mfcc12-mean;0.0417648383268866
mfcc8-mean;0.0414992198710402
spectral-contrast6-mean;0.0408005877418159
chroma6-mean;0.0406268132370164
mfcc20-std;0.0393461138125519
mfcc17-mean;0.0367824796116674
chroma4-mean;0.0360160463554196
chroma9-mean;0.0349430067260796
mfcc5-mean;0.0339524088327727
mfcc15-mean;0.0339298139607285
chroma8-mean;0.0337871346966207
chroma12-mean;0.0333157090909384
mfcc19-std;0.0330277331076973
chroma2-mean;0.0323945063050793
chroma1-std;0.0320185462486315
mfcc13-std;0.0319191696937471
mfcc2-std;0.0309921971110907
spectral-contrast2-mean;0.0305879806984422
mfcc8-std;0.0303181202980292
chroma10-mean;0.0295830856746441
mfcc1-std;0.029238381955511
mfcc9-std;0.0291520829833401
mfcc11-mean;0.0282009879374422
chroma11-std;0.0281487418774269
mfcc10-std;0.0278321563811214
mfcc11-std;0.0278160175178934
mfcc12-std;0.0273891781393477
mfcc18-std;0.0270914140671712
chroma11-mean;0.02685044428939
chroma1-mean;0.026487762619043
mfcc3-std;0.0262800046948816
chroma10-std;0.0256359584083619
chroma8-std;0.0255064304144531
chroma3-std;0.0247396626234644
chroma3-mean;0.024534199679695
mfcc15-std;0.0241953114215503
spectral-contrast6-std;0.0235758006080534
chroma6-std;0.0230309596264378
mfcc14-std;0.0218657711718151
mfcc14-mean;0.0217583670210879
mfcc17-std;0.0213923257501975
chroma4-std;0.0212035475366853
mfcc16-std;0.0201746318714324
chroma7-std;0.0192087815492545
mfcc16-mean;0.0191315461514727
chroma9-std;0.0176484128712186
spectral-contrast7-std;0.0166336614084817
chroma5-std;0.0160596892989696
tempo;0.0160540918620384
mfcc19-mean;0.0147125198046777
chroma12-std;0.0125797164967167
spectral-contrast1-std;0.0121403229659623
spectral-contrast1-mean;0.0112230698268801
mfcc20-mean;0.011117434357786
chroma2-std;0.0108260729570883
mfcc18-mean;0.0105892395770218
